Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
8.4;2025-05-04 11:22:57;978.0779060413998;40.63017308993602;118.4755225558966;12.789825268554686;-2.454056701660156;-0.3447650390625;4.343338563358779;2.298771888717557;0.32455131105343515;-49.05;-15.0;-28.5;0.0;0.0;0.0
8.54;2025-05-04 11:22:57;978.0816415133444;40.65422766978347;118.44339082443535;12.169727038574218;0.7948749511718749;0.1771709228515625;4.747562158488551;1.8918836687022902;-1.186823924;-46.35;-3.5999999999999996;-15.149999999999999;0.0;0.0;0.0
8.68;2025-05-04 11:22:57;978.0841173494005;40.67017082154281;118.42209426648391;10.589553942871094;0.09576806640624999;4.132392065429687;5.308732159374046;0.7706095168854963;-2.0959939349312977;-40.05;16.8;-16.2;0.0;0.0;0.0
8.8;2025-05-04 11:22:57;978.2476458804138;40.67017082154281;117.01555704711977;9.579200842285156;4.244919543457031;2.602497204589844;5.129935829557252;-2.5028821549465654;0.45378561800000006;-33.3;20.25;-52.05;0.0;0.0;0.0
8.93;2025-05-04 11:22:57;978.3386576310122;40.68807190421998;116.23283167766023;9.449913952636718;0.8116343627929687;-0.48123453369140623;3.544217560198474;-1.3722818160305343;2.0877335977862597;-31.65;-0.75;-64.64999999999999;0.0;0.0;0.0
9.06;2025-05-04 11:22:57;978.3421764128143;40.71072796198327;116.20257039793415;10.014945544433592;0.3711012573242187;-2.070984436035156;3.2964074458473283;0.07940582158778627;1.7807688109770994;-26.4;-27.75;-65.39999999999999;0.0;0.0;0.0
9.19;2025-05-04 11:22:57;978.4344486555714;40.71072796198327;115.4090669563573;10.884040747070312;0.8068459594726562;-2.8131869506835936;1.2172006476946566;1.7373354253435116;1.3357764550992368;-24.75;-40.35;-57.449999999999996;0.0;0.0;0.0
9.32;2025-05-04 11:22:58;978.439792262775;40.74513160525345;115.36311598224383;11.549628808593749;1.1372457885742187;-1.158793603515625;-1.0727779789007634;2.61106592529771;1.6025054061374047;-25.2;-44.85;-51.9;0.0;0.0;0.0
9.45;2025-05-04 11:22:58;978.5308437781946;40.74513160525345;114.5801731498035;13.342885852050781;-3.1771056030273437;1.2832920898437499;0.33174579824427486;2.3776447853282447;1.2017458233587788;-27.45;-46.35;-49.65;0.0;0.0;0.0
9.6;2025-05-04 11:22:58;978.6258774309638;40.78904519869586;113.76305123091475;12.442666027832031;-2.4013842651367185;1.1468225952148436;4.276722941221375;1.6859081650534353;-1.0916968155877862;-27.9;-49.05;-31.799999999999997;0.0;0.0;0.0
